member_id,date,racks_am,racks_pm,gf,vegan,vgf,sales,pizza,notes,weather,aqi,witness_id
0,2015-04-05,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-04-06,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-04-07,13,16,0,0,0,8220,yum,n/a,weather,0,1
0,2015-04-08,17.5,15.5,0,0,0,9758.85,yum,n/a,weather,0,1
0,2015-04-09,19,19,0,0,0,11250.9,yum,n/a,weather,0,1
0,2015-04-10,25,22.5,0,0,0,13461.35,yum,n/a,weather,0,1
0,2015-04-11,29.5,26.5,0,0,0,1785.15,yum,n/a,weather,0,1
0,2015-04-12,15,14,0,0,0,8593.12,yum,n/a,weather,0,1
0,2015-04-13,16,18,0,0,0,10512.25,yum,n/a,weather,0,1
0,2015-04-14,15,14,0,0,0,8593.12,yum,n/a,weather,0,1
0,2015-04-15,16,18,0,0,0,10512.25,yum,n/a,weather,0,1
0,2015-04-16,14,19,0,0,0,10535.18,yum,n/a,weather,0,1
0,2015-04-17,24,25,0,0,0,14999.75,yum,n/a,weather,0,1
0,2015-04-18,27.5,22,0,0,0,15017.58,yum,n/a,weather,0,1
0,2015-04-19,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-04-20,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-04-21,14,16,0,0,0,8662,yum,n/a,weather,0,1
0,2015-04-22,16,13,0,0,0,8797.6,yum,n/a,weather,0,1
0,2015-04-23,17,19,0,0,0,10819.84,yum,n/a,weather,0,1
0,2015-04-24,25,24,0,0,0,13682.75,yum,n/a,weather,0,1
0,2015-04-25,34,27,0,0,0,18707.25,yum,n/a,weather,0,1
0,2015-04-26,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-04-27,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-04-28,15,16.5,0,0,0,9373.25,yum,n/a,weather,0,1
0,2015-04-29,18,17.5,0,0,0,10017,yum,n/a,weather,0,1
0,2015-04-30,16,18.5,0,0,0,10557.76,yum,n/a,weather,0,1
0,2015-05-01,0,0,0,0,0,0,yum,May Day,weather,0,1
0,2015-05-02,42,33.5,0,0,0,21905.1,yum,First Corn,weather,0,1
0,2015-05-03,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-05-04,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-05-05,15,15.5,0,0,0,8158.25,yum,n/a,weather,0,1
0,2015-05-06,14,16.5,0,0,0,9125,yum,n/a,weather,0,1
0,2015-05-07,17,17,0,0,0,9564.25,yum,n/a,weather,0,1
0,2015-05-08,25,30,0,0,0,15603,yum,n/a,weather,0,1
0,2015-05-09,32,21,0,0,0,16213.9,yum,Last Asparagus,weather,0,1
0,2015-05-10,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-05-11,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-05-12,16,18,0,0,0,11235.95,yum,n/a,weather,0,1
0,2015-05-13,15,18.5,0,0,0,10325.47,yum,n/a,weather,0,1
0,2015-05-14,21,19,0,0,0,12371.88,yum,n/a,weather,0,1
0,2015-05-15,28,26.5,0,0,0,16692.6,yum,n/a,weather,0,1
0,2015-05-16,35,24,0,0,0,19296.25,yum,n/a,weather,0,1
0,2015-05-17,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-05-18,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-05-19,17,20,0,0,0,11222.05,yum,n/a,weather,0,1
0,2015-05-20,15,16,0,0,0,10105.85,yum,n/a,weather,0,1
0,2015-05-21,17.5,20.5,0,0,0,11254,yum,n/a,weather,0,1
0,2015-05-22,25,25,0,0,0,14758.5,yum,n/a,weather,0,1
0,2015-05-23,38,34,0,0,0,20520.7,yum,n/a,weather,0,1
0,2015-05-24,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-05-25,0,0,0,0,0,0,yum,Memorial Day,weather,0,1
0,2015-05-26,16,17,0,0,0,9380.25,yum,n/a,weather,0,1
0,2015-05-27,16,16.5,0,0,0,9688.75,yum,n/a,weather,0,1
0,2015-05-28,17.5,16.5,0,0,0,10619.25,yum,n/a,weather,0,1
0,2015-05-29,29,27.5,0,0,0,16319.55,yum,n/a,weather,0,1
0,2015-05-30,30.5,22.5,0,0,0,16115.25,yum,n/a,weather,0,1
0,2015-05-31,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-06-01,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-06-02,14,16,0,0,0,9556,yum,n/a,weather,0,1
0,2015-06-03,14,14,0,0,0,8395,yum,n/a,weather,0,1
0,2015-06-04,22.5,25,0,0,0,13655,yum,n/a,weather,0,1
0,2015-06-05,23,18,0,0,0,11850.35,yum,n/a,weather,0,1
0,2015-06-06,32,21,0,0,0,16561,yum,n/a,weather,0,1
0,2015-06-07,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-06-08,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-06-09,19,14,0,0,0,9780,yum,n/a,weather,0,1
0,2015-06-10,18.5,18,0,0,0,10666.7,yum,n/a,weather,0,1
0,2015-06-11,21,22,0,0,0,11987,yum,n/a,weather,0,1
0,2015-06-12,26,20,0,0,0,13497,yum,n/a,weather,0,1
0,2015-06-13,27,20,0,0,0,14615,yum,n/a,weather,0,1
0,2015-06-14,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-06-15,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-06-16,20,21,0,0,0,11910,yum,NBA FINAL G6,weather,0,1
0,2015-06-17,18,14.5,0,0,0,9895.85,yum,n/a,weather,0,1
0,2015-06-18,20,19,0,0,0,11270.4,yum,n/a,weather,0,1
0,2015-06-19,28,25,0,0,0,15253,yum,n/a,weather,0,1
