id,DS,AM Pizza Rack,PM Pizza Racks,gf,vegan,vgf,sales,pizza,notes,weather
70,2015-03-24,15.5,14.5,0,0,0,8760.67,“needs logging”,“none recorded”,“none recorded”
71,2015-03-25,18.5,19.5,0,0,0,,“needs logging”,“none recorded”,“none recorded”
72,2015-03-26,18.5,21,0,0,0,12316.57,“needs logging”,“none recorded”,“none recorded”
73,2015-03-27,25.5,24.5,0,0,0,15100,“needs logging”,“none recorded”,“none recorded”
74,2015-03-28,31,23,0,0,0,17025.61,“needs logging”,“none recorded”,“none recorded”
75,2015-03-29,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
76,2015-03-30,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
77,2015-03-31,18.5,19,0,0,0,10570.25,“needs logging”,“none recorded”,“none recorded”
78,2015-04-01,16,17.5,0,0,0,10500,“needs logging”,“none recorded”,“none recorded”
79,2015-04-02,16,16,0,0,0,10492.66,“needs logging”,“none recorded”,“none recorded”
80,2015-04-03,27.5,24.5,0,0,0,15298.75,“needs logging”,“none recorded”,“none recorded”
81,2015-04-04,32,23,0,0,0,17155.85,“needs logging”,“none recorded”,“none recorded”
82,2015-04-05,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
83,2015-04-06,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
84,2015-04-07,13,16,0,0,0,8220,“needs logging”,“none recorded”,“none recorded”
85,2015-04-08,17.5,15.5,0,0,0,9758.85,“needs logging”,“none recorded”,“none recorded”
86,2015-04-09,19,19,0,0,0,11250.9,“needs logging”,“none recorded”,“none recorded”
87,2015-04-10,25,22.5,0,0,0,13461.35,“needs logging”,“none recorded”,“none recorded”
88,2015-04-11,29.5,26.5,0,0,0,1785.15,“needs logging”,“none recorded”,“none recorded”
89,2015-04-12,15,14,0,0,0,8593.12,“needs logging”,“none recorded”,“none recorded”
90,2015-04-13,16,18,0,0,0,10512.25,“needs logging”,“none recorded”,“none recorded”
91,2015-04-14,15,14,0,0,0,8593.12,“needs logging”,“none recorded”,“none recorded”
92,2015-04-15,16,18,0,0,0,10512.25,“needs logging”,“none recorded”,“none recorded”
93,2015-04-16,14,19,0,0,0,10535.18,“needs logging”,“none recorded”,“none recorded”
94,2015-04-17,24,25,0,0,0,14999.75,“needs logging”,“none recorded”,“none recorded”
95,2015-04-18,27.5,22,0,0,0,15017.58,“needs logging”,“none recorded”,“none recorded”
96,2015-04-19,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
