id,DS,AM Pizza Rack,PM Pizza Racks,gf,vegan,vgf,sales,pizza,notes,weather
1198,2018-04-25,17.5,15.5,0,0,0,10876,“needs logging”,“none recorded”,“none recorded”
1199,2018-04-26,17,16,0,0,0,10517,“needs logging”,“none recorded”,“none recorded”
1200,2018-04-27,25,26,0,0,0,16418,“needs logging”,“none recorded”,“none recorded”
1201,2018-04-28,33,29,0,0,0,20264,“needs logging”,“none recorded”,“none recorded”
1202,2018-04-29,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1203,2018-04-30,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1204,2018-05-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1205,2018-05-02,19,17,0,0,0,11943,“needs logging”,“none recorded”,“none recorded”
1206,2018-05-03,16,18.5,0,0,0,12107,“needs logging”,“none recorded”,“none recorded”
1207,2018-05-04,22.5,24,0,0,0,15164,“needs logging”,“none recorded”,“none recorded”
1208,2018-05-05,45,31.5,0,0,0,25092,“needs logging”,“none recorded”,“none recorded”
1209,2018-05-06,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1210,2018-05-07,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1211,2018-05-08,16.5,19.5,0,0,0,12121,“needs logging”,“none recorded”,“none recorded”
1212,2018-05-09,18.5,17,0,0,0,11775,“needs logging”,“none recorded”,“none recorded”
1213,2018-05-10,17,17.5,0,0,0,11687,“needs logging”,“none recorded”,“none recorded”
1214,2018-05-11,30.5,27.5,0,0,0,19400,“needs logging”,“none recorded”,“none recorded”
1215,2018-05-12,40.5,29.25,0,0,0,23756,“needs logging”,“none recorded”,“none recorded”
1216,2018-05-13,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1217,2018-05-14,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1218,2018-05-15,18.5,13,0,0,0,9903,“needs logging”,“none recorded”,“none recorded”
1219,2018-05-16,19,19,0,0,0,13936,“needs logging”,“none recorded”,“none recorded”
1220,2018-05-17,22,21.25,0,0,0,13790,“needs logging”,“none recorded”,“none recorded”
1221,2018-05-18,26,25,0,0,0,16460,“needs logging”,“none recorded”,“none recorded”
1222,2018-05-19,27.5,24,0,0,0,15892,“needs logging”,“none recorded”,“none recorded”
1223,2018-05-20,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1224,2018-05-21,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1225,2018-05-22,20,18,0,0,0,10998,“needs logging”,“none recorded”,“none recorded”
1226,2018-05-23,16,17.75,0,0,0,11572,“needs logging”,“none recorded”,“none recorded”
1227,2018-05-24,19.5,14,0,0,0,11243,“needs logging”,“none recorded”,“none recorded”
1228,2018-05-25,25,22,0,0,0,14566,“needs logging”,“none recorded”,“none recorded”
1229,2018-05-26,34.5,30,0,0,0,20726,“needs logging”,“none recorded”,“none recorded”
1230,2018-05-27,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1231,2018-05-28,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1232,2018-05-29,15.5,16.5,0,0,0,10691,“needs logging”,“none recorded”,“none recorded”
1233,2018-05-30,15.5,19.5,0,0,0,11453,“needs logging”,“none recorded”,“none recorded”
1234,2018-05-31,20,16.5,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1235,2018-06-01,24.5,27,0,0,0,14807,“needs logging”,“none recorded”,“none recorded”
1236,2018-06-02,35,22,0,0,0,19463,“needs logging”,“none recorded”,“none recorded”
1237,2018-06-03,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1238,2018-06-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1239,2018-06-05,17,18.5,0,0,0,12181,“needs logging”,“none recorded”,“none recorded”
1240,2018-06-06,19,16,0,0,0,11592,“needs logging”,“none recorded”,“none recorded”
1241,2018-06-07,17,18,0,0,0,12309,“needs logging”,“none recorded”,“none recorded”
1242,2018-06-08,29.5,29.5,0,0,0,16856,“needs logging”,“none recorded”,“none recorded”
1243,2018-06-09,34,22,0,0,0,19160,“needs logging”,“none recorded”,“none recorded”
1244,2018-06-10,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1245,2018-06-11,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1246,2018-06-12,14,12.5,0,0,0,10070,“needs logging”,“none recorded”,“none recorded”
1247,2018-06-13,15.5,16.5,0,0,0,11226,“needs logging”,“none recorded”,“none recorded”
1248,2018-06-14,22.5,22,0,0,0,13744,“needs logging”,“none recorded”,“none recorded”
1249,2018-06-15,25.5,24.5,0,0,0,15239,“needs logging”,“none recorded”,“none recorded”
1250,2018-06-16,30,20,0,0,0,17262,“needs logging”,“none recorded”,“none recorded”
1251,2018-06-17,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1252,2018-06-18,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1253,2018-06-19,20,15.5,0,0,0,11541,“needs logging”,“none recorded”,“none recorded”
1254,2018-06-20,19,18,0,0,0,12936,“needs logging”,“none recorded”,“none recorded”
1255,2018-06-21,18,16,0,0,0,11978,“needs logging”,“none recorded”,“none recorded”
1256,2018-06-22,27.5,27.5,0,0,0,18132,“needs logging”,“none recorded”,“none recorded”
1257,2018-06-23,28.5,20,0,0,0,17124,“needs logging”,“none recorded”,“none recorded”
1258,2018-06-24,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1259,2018-06-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1260,2018-06-26,17,16.5,0,0,0,11966,“needs logging”,“none recorded”,“none recorded”
1261,2018-06-27,16.5,14.5,0,0,0,11334,“needs logging”,“none recorded”,“none recorded”
1262,2018-06-28,21,19,0,0,0,12884,“needs logging”,“none recorded”,“none recorded”
1263,2018-06-29,22,22,0,0,0,15792,“needs logging”,“none recorded”,“none recorded”
1264,2018-06-30,32.5,24,0,0,0,16492,“needs logging”,“none recorded”,“none recorded”
1265,2018-07-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1266,2018-07-02,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1267,2018-07-03,20,21,0,0,0,13289,“needs logging”,“none recorded”,“none recorded”
1268,2018-07-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1269,2018-07-05,22,18.5,0,0,0,13126,“needs logging”,“none recorded”,“none recorded”
1270,2018-07-06,23,21,0,0,0,14407,“needs logging”,“none recorded”,“none recorded”
1271,2018-07-07,27,30,0,0,0,18053,“needs logging”,“none recorded”,“none recorded”
1272,2018-07-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1273,2018-07-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1274,2018-07-10,16,18.5,0,0,0,11779,“needs logging”,“none recorded”,“none recorded”
1275,2018-07-11,16,18,0,0,0,10778,“needs logging”,“none recorded”,“none recorded”
1276,2018-07-12,16,17,0,0,0,12778,“needs logging”,“none recorded”,“none recorded”
1277,2018-07-13,32,33.5,0,0,0,22161,“needs logging”,“none recorded”,“none recorded”
1278,2018-07-14,29.5,20.5,0,0,0,16749,“needs logging”,“none recorded”,“none recorded”
1279,2018-07-15,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1280,2018-07-16,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1281,2018-07-17,17,18,0,0,0,11686,“needs logging”,“none recorded”,“none recorded”
1282,2018-07-18,15.5,16.5,0,0,0,11273,“needs logging”,“none recorded”,“none recorded”
1283,2018-07-19,21,21.5,0,0,0,14163,“needs logging”,“none recorded”,“none recorded”
1284,2018-07-20,27,18,0,0,0,13697,“needs logging”,“none recorded”,“none recorded”
1285,2018-07-21,34,28,0,0,0,18608,“needs logging”,“none recorded”,“none recorded”
1286,2018-07-22,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1287,2018-07-23,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1288,2018-07-24,17.5,18,0,0,0,11674,“needs logging”,“none recorded”,“none recorded”
1289,2018-07-25,19,17,0,0,0,12230,“needs logging”,“none recorded”,“none recorded”
1290,2018-07-26,17.5,16.5,0,0,0,11979,“needs logging”,“none recorded”,“none recorded”
1291,2018-07-27,26,28,0,0,0,17270,“needs logging”,“none recorded”,“none recorded”
1292,2018-07-28,34,25.5,0,0,0,20136,“needs logging”,“none recorded”,“none recorded”
1293,2018-07-29,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1294,2018-07-30,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1295,2018-07-31,17.5,19.5,0,0,0,12721,“needs logging”,“none recorded”,“none recorded”
1296,2018-08-01,18.5,16,0,0,0,11857,“needs logging”,“none recorded”,“none recorded”
1297,2018-08-02,23,24.5,0,0,0,15516,“needs logging”,“none recorded”,“none recorded”
1298,2018-08-03,27,19,0,0,0,16210,“needs logging”,“none recorded”,“none recorded”
1299,2018-08-04,41,31,0,0,0,22453,“needs logging”,“none recorded”,“none recorded”
1300,2018-08-05,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1301,2018-08-06,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1302,2018-08-07,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1303,2018-08-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1304,2018-08-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1305,2018-08-10,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1306,2018-08-11,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1307,2018-08-12,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1308,2018-08-13,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1309,2018-08-14,20.5,18,0,0,0,13684,“needs logging”,“none recorded”,“none recorded”
1310,2018-08-15,22.5,22,0,0,0,14862,“needs logging”,“none recorded”,“none recorded”
1311,2018-08-16,17,18,0,0,0,12797,“needs logging”,“none recorded”,“none recorded”
1312,2018-08-17,31,29,0,0,0,17630,“needs logging”,“none recorded”,“none recorded”
1313,2018-08-18,38,27,0,0,0,21431,“needs logging”,“none recorded”,“none recorded”
1314,2018-08-19,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1315,2018-08-20,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1316,2018-08-21,23,18.5,0,0,0,13220,“needs logging”,“none recorded”,“none recorded”
1317,2018-08-22,16,15,0,0,0,10668,“needs logging”,“none recorded”,“none recorded”
1318,2018-08-23,15,21.5,0,0,0,13421,“needs logging”,“none recorded”,“none recorded”
1319,2018-08-24,25,28,0,0,0,16875,“needs logging”,“none recorded”,“none recorded”
1320,2018-08-25,38,32,0,0,0,24094,“needs logging”,“none recorded”,“none recorded”
1321,2018-08-26,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1322,2018-08-27,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1323,2018-08-28,14.5,13.5,0,0,0,10043,“needs logging”,“none recorded”,“none recorded”
1324,2018-08-29,18.5,18.5,0,0,0,12009,“needs logging”,“none recorded”,“none recorded”
1325,2018-08-30,14.5,19,0,0,0,11863,“needs logging”,“none recorded”,“none recorded”
1326,2018-08-31,24.5,25.5,0,0,0,16149,“needs logging”,“none recorded”,“none recorded”
1327,2018-09-01,36,30,0,0,0,223`4,“needs logging”,“none recorded”,“none recorded”
1328,2018-09-02,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1329,2018-09-03,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1330,2018-09-04,14.5,15.5,0,0,0,9880,“needs logging”,“none recorded”,“none recorded”
1331,2018-09-05,14.5,14,0,0,0,9558,“needs logging”,“none recorded”,“none recorded”
1332,2018-09-06,17.5,20.5,0,0,0,12753,“needs logging”,“none recorded”,“none recorded”
1333,2018-09-07,26,27.5,0,0,0,16887,“needs logging”,“none recorded”,“none recorded”
1334,2018-09-08,31.5,24.5,0,0,0,1812,“needs logging”,“none recorded”,“none recorded”
1335,2018-09-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1336,2018-09-10,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1337,2018-09-11,15,16,0,0,0,10134,“needs logging”,“none recorded”,“none recorded”
1338,2018-09-12,15.5,15,0,0,0,10225,“needs logging”,“none recorded”,“none recorded”
1339,2018-09-13,17.5,16.5,0,0,0,11543,“needs logging”,“none recorded”,“none recorded”
1340,2018-09-14,30,28,0,0,0,17897,“needs logging”,“none recorded”,“none recorded”
1341,2018-09-15,36,26.5,0,0,0,21184,“needs logging”,“none recorded”,“none recorded”
1342,2018-09-16,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1343,2018-09-17,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1344,2018-09-18,16,15,0,0,0,10195,“needs logging”,“none recorded”,“none recorded”
1345,2018-09-19,17,16,0,0,0,11214,“needs logging”,“none recorded”,“none recorded”
1346,2018-09-20,13,16,0,0,0,10267,“needs logging”,“none recorded”,“none recorded”
1347,2018-09-21,25.5,27,0,0,0,16525,“needs logging”,“none recorded”,“none recorded”
1348,2018-09-22,35,31,0,0,0,21753,“needs logging”,“none recorded”,“none recorded”
1349,2018-09-23,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1350,2018-09-24,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1351,2018-09-25,15.5,13.5,0,0,0,10049,“needs logging”,“none recorded”,“none recorded”
1352,2018-09-26,15.5,19.5,0,0,0,11689,“needs logging”,“none recorded”,“none recorded”
1353,2018-09-27,15,17,0,0,0,10842,“needs logging”,“none recorded”,“none recorded”
1354,2018-09-28,25.5,25,0,0,0,15531,“needs logging”,“none recorded”,“none recorded”
1355,2018-09-29,31,24,0,0,0,18949,“needs logging”,“none recorded”,“none recorded”
1356,2018-09-30,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1357,2018-10-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1358,2018-10-02,17,17.5,0,0,0,11490,“needs logging”,“none recorded”,“none recorded”
1359,2018-10-03,15.5,14,0,0,0,9688,“needs logging”,“none recorded”,“none recorded”
1360,2018-10-04,12,12,0,0,0,8924,“needs logging”,“none recorded”,“none recorded”
1361,2018-10-05,23,22,0,0,0,14632,“needs logging”,“none recorded”,“none recorded”
1362,2018-10-06,21,27,0,0,0,16192,“needs logging”,“none recorded”,“none recorded”
1363,2018-10-07,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1364,2018-10-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1365,2018-10-09,14,15,0,0,0,9686,“needs logging”,“none recorded”,“none recorded”
1366,2018-10-10,17,15.5,0,0,0,10386,“needs logging”,“none recorded”,“none recorded”
1367,2018-10-11,18,19,0,0,0,13010,“needs logging”,“none recorded”,“none recorded”
1368,2018-10-12,25.5,24.5,0,0,0,16893,“needs logging”,“none recorded”,“none recorded”
1369,2018-10-13,32,27.5,0,0,0,20619,“needs logging”,“none recorded”,“none recorded”
1370,2018-10-14,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1371,2018-10-15,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1372,2018-10-16,14.5,14.5,0,0,0,10237,“needs logging”,“none recorded”,“none recorded”
1373,2018-10-17,16,17.5,0,0,0,10975,“needs logging”,“none recorded”,“none recorded”
1374,2018-10-18,17.5,17,0,0,0,10872,“needs logging”,“none recorded”,“none recorded”
1375,2018-10-19,29,26.5,0,0,0,18950,“needs logging”,“none recorded”,“none recorded”
1376,2018-10-20,32,24,0,0,0,19139,“needs logging”,“none recorded”,“none recorded”
1377,2018-10-21,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1378,2018-10-22,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1379,2018-10-23,15,14,0,0,0,9857,“needs logging”,“none recorded”,“none recorded”
1380,2018-10-24,13.5,13,0,0,0,9411,“needs logging”,“none recorded”,“none recorded”
1381,2018-10-25,17,20,0,0,0,12127,“needs logging”,“none recorded”,“none recorded”
1382,2018-10-26,28,24,0,0,0,16285,“needs logging”,“none recorded”,“none recorded”
1383,2018-10-27,39,31,0,0,0,22466,“needs logging”,“none recorded”,“none recorded”
1384,2018-10-28,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1385,2018-10-29,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1386,2018-10-30,16,16,0,0,0,10496,“needs logging”,“none recorded”,“none recorded”
1387,2018-10-31,27.75,20.5,0,0,0,14006,“needs logging”,“none recorded”,“none recorded”
1388,2018-11-01,17.5,17,0,0,0,10882,“needs logging”,“none recorded”,“none recorded”
1389,2018-11-02,26.5,25.5,0,0,0,16754,“needs logging”,“none recorded”,“none recorded”
1390,2018-11-03,30,23.5,0,0,0,18775,“needs logging”,“none recorded”,“none recorded”
1391,2018-11-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1392,2018-11-05,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1393,2018-11-06,19,18,0,0,0,11697,“needs logging”,“none recorded”,“none recorded”
1394,2018-11-07,16.5,14.5,0,0,0,10352,“needs logging”,“none recorded”,“none recorded”
1395,2018-11-08,17,15.5,0,0,0,10978,“needs logging”,“none recorded”,“none recorded”
1396,2018-11-09,23,22,0,0,0,14104,“needs logging”,“none recorded”,“none recorded”
1397,2018-11-10,29.5,19.5,0,0,0,16375,“needs logging”,“none recorded”,“none recorded”
1398,2018-11-11,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1399,2018-11-12,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1400,2018-11-13,16.5,14.5,0,0,0,10408,“needs logging”,“none recorded”,“none recorded”
1401,2018-11-14,13.5,15.5,0,0,0,9759,“needs logging”,“none recorded”,“none recorded”
1402,2018-11-15,19,17.5,0,0,0,10386,“needs logging”,“none recorded”,“none recorded”
1403,2018-11-16,22.75,15,0,0,0,11238,“needs logging”,“none recorded”,“none recorded”
1404,2018-11-17,38,,0,0,0,9068,“needs logging”,“none recorded”,“none recorded”
1405,2018-11-18,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1406,2018-11-19,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1407,2018-11-20,20.5,15.5,0,0,0,11918,“needs logging”,“none recorded”,“none recorded”
1408,2018-11-21,103,,0,0,0,25460,“needs logging”,“none recorded”,“none recorded”
1409,2018-11-22,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1410,2018-11-23,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1411,2018-11-24,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1412,2018-11-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1413,2018-11-26,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1414,2018-11-27,16.5,11,0,0,0,8850,“needs logging”,“none recorded”,“none recorded”
1415,2018-11-28,15.5,15.5,0,0,0,10071,“needs logging”,“none recorded”,“none recorded”
1416,2018-11-29,14.5,12.5,0,0,0,8338,“needs logging”,“none recorded”,“none recorded”
1417,2018-11-30,21.5,20.5,0,0,0,12841,“needs logging”,“none recorded”,“none recorded”
1418,2018-12-01,31,27,0,0,0,18078,“needs logging”,“none recorded”,“none recorded”
1419,2018-12-02,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1420,2018-12-03,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1421,2018-12-04,14,11,0,0,0,8996,“needs logging”,“none recorded”,“none recorded”
1422,2018-12-05,16,13.5,0,0,0,9210,“needs logging”,“none recorded”,“none recorded”
1423,2018-12-06,16,16.5,0,0,0,10083,“needs logging”,“none recorded”,“none recorded”
1424,2018-12-07,21.5,18,0,0,0,12592,“needs logging”,“none recorded”,“none recorded”
1425,2018-12-08,34.5,21.5,0,0,0,18329,“needs logging”,“none recorded”,“none recorded”
1426,2018-12-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1427,2018-12-10,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1428,2018-12-11,16.5,14.5,0,0,0,9948,“needs logging”,“none recorded”,“none recorded”
1429,2018-12-12,20,14,0,0,0,11520,“needs logging”,“none recorded”,“none recorded”
1430,2018-12-13,17,17,0,0,0,9478,“needs logging”,“none recorded”,“none recorded”
1431,2018-12-14,27,23,0,0,0,15062,“needs logging”,“none recorded”,“none recorded”
1432,2018-12-15,37.5,24,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1433,2018-12-16,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1434,2018-12-17,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1435,2018-12-18,17.5,12.5,0,0,0,9704,“needs logging”,“none recorded”,“none recorded”
1436,2018-12-19,18,12.5,0,0,0,9911,“needs logging”,“none recorded”,“none recorded”
1437,2018-12-20,24.5,17,0,0,0,12494,“needs logging”,“none recorded”,“none recorded”
1438,2018-12-21,27.5,18,0,0,0,12346,“needs logging”,“none recorded”,“none recorded”
1439,2018-12-22,41,20,0,0,0,13610,“needs logging”,“none recorded”,“none recorded”
1440,2018-12-23,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1441,2018-12-24,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1442,2018-12-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1443,2018-12-26,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1444,2018-12-27,25,21,0,0,0,14746,“needs logging”,“none recorded”,“none recorded”
1445,2018-12-28,35.5,23,0,0,0,18477,“needs logging”,“none recorded”,“none recorded”
1446,2018-12-29,38.5,24.5,0,0,0,19926,“needs logging”,“none recorded”,“none recorded”
1447,2018-12-30,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1448,2018-12-31,35,,0,0,0,8468,“needs logging”,“none recorded”,“none recorded”
1449,DS,AM Pizza Rack,PM Pizza Racks,0,0,0,Sales,“needs logging”,“none recorded”,“none recorded”
1450,2015-01-13,18,19,0,0,0,11204.5,“needs logging”,“none recorded”,“none recorded”
1451,2015-01-14,17,16,0,0,0,9749.4,“needs logging”,“none recorded”,“none recorded”
1452,2015-01-15,,,0,0,0,10521,“needs logging”,“none recorded”,“none recorded”
1453,2015-01-16,25,25,0,0,0,13990.75,“needs logging”,“none recorded”,“none recorded”
1454,2015-01-17,34,24,0,0,0,17441.45,“needs logging”,“none recorded”,“none recorded”
1455,2015-01-18,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1456,2015-01-19,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1457,2015-01-20,11,13,0,0,0,7197,“needs logging”,“none recorded”,“none recorded”
1458,2015-01-21,14.5,14.5,0,0,0,8355.7,“needs logging”,“none recorded”,“none recorded”
1459,2015-01-22,19,18.5,0,0,0,10939,“needs logging”,“none recorded”,“none recorded”
1460,2015-01-23,24,18,0,0,0,11392.25,“needs logging”,“none recorded”,“none recorded”
1461,2015-01-24,34,26,0,0,0,17440.35,“needs logging”,“none recorded”,“none recorded”
1462,2015-01-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1463,2015-01-26,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1464,2015-01-27,16,12,0,0,0,8390,“needs logging”,“none recorded”,“none recorded”
1465,2015-01-28,13.5,13.5,0,0,0,7917,“needs logging”,“none recorded”,“none recorded”
1466,2015-01-29,16,14,0,0,0,9405.7,“needs logging”,“none recorded”,“none recorded”
1467,2015-01-30,24,22.75,0,0,0,12834.5,“needs logging”,“none recorded”,“none recorded”
1468,2015-01-31,35,29,0,0,0,18523.25,“needs logging”,“none recorded”,“none recorded”
1469,2015-02-01,16,,0,0,0,8194.31,“needs logging”,“none recorded”,“none recorded”
1470,2015-02-02,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1471,2015-02-03,15,14,0,0,0,8596.5,“needs logging”,“none recorded”,“none recorded”
1472,2015-02-04,16,8,0,0,0,6006.54,“needs logging”,“none recorded”,“none recorded”
1473,2015-02-05,16,15.5,0,0,0,9079.35,“needs logging”,“none recorded”,“none recorded”
1474,2015-02-06,18,17,0,0,0,9357.25,“needs logging”,“none recorded”,“none recorded”
1475,2015-02-07,31.5,23,0,0,0,18523.25,“needs logging”,“none recorded”,“none recorded”
1476,2015-02-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1477,2015-02-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1478,2015-02-10,14.5,13,0,0,0,8324.43,“needs logging”,“none recorded”,“none recorded”
1479,2015-02-11,14,15,0,0,0,8527.6,“needs logging”,“none recorded”,“none recorded”
1480,2015-02-12,14,14,0,0,0,8807,“needs logging”,“none recorded”,“none recorded”
1481,2015-02-13,24.5,23,0,0,0,13558.25,“needs logging”,“none recorded”,“none recorded”
1482,2015-02-14,37,29,0,0,0,21514.85,“needs logging”,“none recorded”,“none recorded”
1483,2015-02-15,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1484,2015-02-16,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1485,2015-02-17,14,11.5,0,0,0,7599.96,“needs logging”,“none recorded”,“none recorded”
1486,2015-02-18,13.5,16.5,0,0,0,3661,“needs logging”,“none recorded”,“none recorded”
1487,2015-02-19,13,17.5,0,0,0,8470.25,“needs logging”,“none recorded”,“none recorded”
1488,2015-02-20,22.5,23.75,0,0,0,14237.75,“needs logging”,“none recorded”,“none recorded”
1489,2015-02-21,36,24.5,0,0,0,17044.25,“needs logging”,“none recorded”,“none recorded”
1490,2015-02-22,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1491,2015-02-23,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1492,2015-02-24,13,17.5,0,0,0,6963.8,“needs logging”,“none recorded”,“none recorded”
1493,2015-02-25,15.5,15,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1494,2015-02-26,18,18,0,0,0,10175.5,“needs logging”,“none recorded”,“none recorded”
1495,2015-02-27,24,25,0,0,0,13897.25,“needs logging”,“none recorded”,“none recorded”
1496,2015-02-28,36,27.5,0,0,0,18323.5,“needs logging”,“none recorded”,“none recorded”
1497,2015-03-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1498,2015-03-02,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1499,2015-03-03,13.5,14,0,0,0,8628.65,“needs logging”,“none recorded”,“none recorded”
1500,2015-03-04,15,14.5,0,0,0,9186,“needs logging”,“none recorded”,“none recorded”
1501,2015-03-05,19,15.5,0,0,0,11060.75,“needs logging”,“none recorded”,“none recorded”
1502,2015-03-06,23,28,0,0,0,14132.03,“needs logging”,“none recorded”,“none recorded”
1503,2015-03-07,32,22.5,0,0,0,16278.1,“needs logging”,“none recorded”,“none recorded”
1504,2015-03-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1505,2015-03-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1506,2015-03-10,15,14,0,0,0,8507.25,“needs logging”,“none recorded”,“none recorded”
1507,2015-03-11,15,18.5,0,0,0,9186.27,“needs logging”,“none recorded”,“none recorded”
1508,2015-03-12,16,20,0,0,0,11985.21,“needs logging”,“none recorded”,“none recorded”
1509,2015-03-13,24,25.25,0,0,0,13724.6,“needs logging”,“none recorded”,“none recorded”
1510,2015-03-14,33.2,26,0,0,0,18373.55,“needs logging”,“none recorded”,“none recorded”
1511,2015-03-15,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1512,2015-03-16,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
1513,2015-03-17,17,16,0,0,0,9384.75,“needs logging”,“none recorded”,“none recorded”
