ds,y,,,
2015-10-06,14.5,,,
2015-10-07,14.5,,,
2015-10-08,16,,,
2015-10-09,24,,,
2015-10-10,35,,,
2015-10-11,,,,
2015-10-12,,,,
2015-10-13,14,,,
2015-10-14,15.5,,,
2015-10-15,14,,,
2015-10-16,25.5,,,
2015-10-17,35,,,
2015-10-18,,,,
2015-10-19,,,,
2015-10-20,15.5,,,
2015-10-21,15,,,
2015-10-22,16,,,
2015-10-23,24.5,,,
2015-10-24,39,,,
2015-10-25,,,,
2015-10-26,,,,
2015-10-27,13.5,,,
2015-10-28,14,,,
2015-10-29,16,,,
2015-10-30,28,,,
2015-10-31,32.5,,,
2015-11-01,,,,
2015-11-02,,,,
2015-11-03,13.5,,,
2015-11-04,15.5,,,
2015-11-05,16,,,
2015-11-06,27,,,
2015-11-07,29.5,,,
2015-11-08,,,,
2015-11-09,,,,
2015-11-10,14,,,
2015-11-11,21,,,
2015-11-12,15.5,,,
2015-11-13,23,,,
2015-11-14,32.5,,,
2015-11-15,,,,
2015-11-16,,,,
2015-11-17,17.5,,,
2015-11-18,13,,,
2015-11-19,16,,,
2015-11-20,21,,,
2015-11-21,34,,,
2015-11-22,,,,
2015-11-23,,,,
2015-11-24,21.5,,,
2015-11-25,95,,,
2015-11-26,,,,
2015-11-27,,,,
2015-11-28,,,,
2015-11-29,,,,
2015-11-30,,,,
2015-12-01,15,,,
2015-12-02,14,,,
2015-12-03,15,,,
2015-12-04,24.5,,,
2015-12-05,28,,,
2015-12-06,,,,
2015-12-07,,,,
2015-12-08,14.5,,,
2015-12-09,15.5,,,
2015-12-10,16,,,
2015-12-11,21.5,,,
2015-12-12,29,,,
2015-12-13,,,,
2015-12-14,,,,
2015-12-15,16.5,,,
2015-12-16,17,,,
2015-12-17,18.5,,,
2015-12-18,23,,,
2015-12-19,35,,,
2015-12-20,,,,
2015-12-21,,,,
2015-12-22,26,,,
2015-12-23,24,,,
2015-12-24,30,,,
2015-12-25,,,,
2015-12-26,,,,
2015-12-27,,,,
2015-12-28,,,,
2015-12-29,30,,,
2015-12-30,26.5,,,
2015-12-31,44,,,
2016-01-01,,,,
2016-01-02,,,,
2016-01-03,,,,
2016-01-04,,,,
2016-01-05,,,,
2016-01-06,,,,
2016-01-07,,,,
2016-01-08,,,,
2016-01-09,,,,
2016-01-10,,,,
2016-01-11,,,,
2016-01-12,19,,,
2016-01-13,18,,,
2016-01-14,19.5,,,
2016-01-15,23.5,,,
2016-01-16,35,,,
2016-01-17,,,,
2016-01-18,,,,
2016-01-19,14,,,
2016-01-20,16,,,
2016-01-21,16,,,
2016-01-22,22,,,
2016-01-23,32.5,,,
2016-01-24,,,,
2016-01-25,,,,
2016-01-26,15,,,
2016-01-27,17,,,
2016-01-28,20,,,
2016-01-29,23,,,
2016-01-30,33,,,
2016-01-31,,,,
2016-02-01,,,,
2016-02-02,13,,,
2016-02-03,15.5,,,
2016-02-04,14,,,
2016-02-05,27,,,
2016-02-06,39,,,
2016-02-07,,,,
2016-02-08,,,,
2016-02-09,15,,,
2016-02-10,13,,,
2016-02-11,18,,,
2016-02-12,24,,,
2016-02-13,40,,,
2016-02-14,,,,
2016-02-15,,,,
2016-02-16,17,,,
2016-02-17,,,,
2016-02-18,17,,,
2016-02-19,23.5,,,
2016-02-20,31.5,,,
2016-02-21,,,,
2016-02-22,,,,
2016-02-23,17,,,
2016-02-24,19.5,,,
2016-02-25,17.5,,,
2016-02-26,28,,,
2016-02-27,37,,,
2016-02-28,,,,
2016-02-29,,,,
2016-03-01,13.5,,,
2016-03-02,16,,,
2016-03-03,16,,,
2016-03-04,25,,,
2016-03-05,32,,,
2016-03-06,,,,
2016-03-07,,,,
2016-03-08,18,,,
2016-03-09,16,,,
2016-03-10,17,,,
2016-03-11,23,,,
2016-03-12,36,,,
2016-03-13,,,,
2016-03-14,,,,
2016-03-15,15.5,,,
2016-03-16,18.5,,,
2016-03-17,19.5,,,
2016-03-18,27,,,
2016-03-19,35,,,
2016-03-20,,,,
2016-03-21,,,,
2016-03-22,19.5,,,
2016-03-23,22,,,
2016-03-24,20.5,,,
2016-03-25,30,,,
2016-03-26,36,,,
2016-03-27,,,,
2016-03-28,,,,
2016-03-29,20.5,,,
2016-03-30,20.5,,,
2016-03-31,19.5,,,
2016-04-01,25,,,
2016-04-02,33,,,
2016-04-03,,,,
2016-04-04,,,,
2016-04-05,16.5,,,
2016-04-06,17,,,
2016-04-07,16,,,
2016-04-08,24,,,
2016-04-09,32,,,
2016-04-10,,,,
2016-04-11,,,,
2016-04-12,14,,,
2016-04-13,18,,,
2016-04-14,19,,,
2016-04-15,24,,,
2016-04-16,33,,,
2016-04-17,,,,
2016-04-18,,,,
2016-04-19,13,,,
2016-04-20,15,,,
2016-04-21,19,,,
2016-04-22,26.5,,,
2016-04-23,35,,,
2016-04-24,,,,
2016-04-25,,,,
2016-04-26,14,,,
2016-04-27,15,,,
2016-04-28,18,,,
2016-04-29,37,,,
2016-04-30,30,,,
2016-05-01,,,,
2016-05-02,,,,
2016-05-03,15,,,
2016-05-04,19,,,
2016-05-05,16,,,
2016-05-06,23,,,
2016-05-07,44,,,
2016-05-08,,,,
2016-05-09,,,,
2016-05-10,16,,,
2016-05-11,17,,,
2016-05-12,17.5,,,
2016-05-13,31,,,
2016-05-14,38,,,
2016-05-15,,,,
2016-05-16,,,,
2016-05-17,18.5,,,
2016-05-18,18,,,
2016-05-19,21.5,,,
2016-05-20,25.5,,,
2016-05-21,34.5,,,
2016-05-22,,,,
2016-05-23,,,,
2016-05-24,18,,,
2016-05-25,16.5,,,
2016-05-26,19,,,
2016-05-27,27.5,,,
2016-05-28,30,,,
2016-05-29,,,,
2016-05-30,,,,
2016-05-31,17,,,
2016-06-01,18,,,
2016-06-02,18,,,
2016-06-03,24,,,
2016-06-04,32,,,
2016-06-05,,,,
2016-06-06,,,,
2016-06-07,18,,,
2016-06-08,18,,,
2016-06-09,21,,,
2016-06-10,26,,,
2016-06-11,30,,,
2016-06-12,,,,
2016-06-13,,,,
2016-06-14,17,,,
2016-06-15,21,,,
2016-06-16,24,,,
2016-06-17,28,,,
2016-06-18,24,,,
2016-06-19,,,,
2016-06-20,,,,
2016-06-21,16,,,
2016-06-22,16.5,,,
2016-06-23,19,,,
2016-06-24,26,,,
2016-06-25,37,,,
2016-06-26,,,,
2016-06-27,,,,
2016-06-28,17.5,,,
2016-06-29,18,,,
2016-06-30,16.5,,,
2016-07-01,30,,,
2016-07-02,34,,,
2016-07-03,,,,
2016-07-04,,,,
2016-07-05,16.5,,,
2016-07-06,17,,,
2016-07-07,21,,,
2016-07-08,26.5,,,
2016-07-09,33,,,
2016-07-10,,,,
2016-07-11,,,,
2016-07-12,18,,,
2016-07-13,18,,,
2016-07-14,18,,,
2016-07-15,27,,,
2016-07-16,33.5,,,
2016-07-17,,,,
2016-07-18,,,,
2016-07-19,17,,,
2016-07-20,16,,,
2016-07-21,17,,,
2016-07-22,26,,,
2016-07-23,32,,,
2016-07-24,,,,
2016-07-25,,,,
2016-07-26,16,,,
2016-07-27,18.5,,,
2016-07-28,19,,,
2016-07-29,28,,,
2016-07-30,35,,,
2016-07-31,,,,
2016-08-01,,,,
2016-08-02,,,,
2016-08-03,,,,
2016-08-04,,,,
2016-08-05,,,,
2016-08-06,,,,
2016-08-07,,,,
2016-08-08,,,,
2016-08-09,19,,,
2016-08-10,17,,,
2016-08-11,20,,,
2016-08-12,27,,,
2016-08-13,34.5,,,
2016-08-14,,,,
2016-08-15,,,,
2016-08-16,19.5,,,
2016-08-17,18,,,
2016-08-18,18.5,,,
2016-08-19,27,,,
2016-08-20,38.5,,,
2016-08-21,,,,
2016-08-22,,,,
2016-08-23,19,,,
2016-08-24,21,,,
2016-08-25,22,,,
2016-08-26,23,,,
2016-08-27,31,,,
2016-08-28,,,,
2016-08-29,,,,
2016-08-30,16,,,
2016-08-31,15,,,
2016-09-01,20,,,
2016-09-02,28.5,,,
2016-09-03,33,,,
2016-09-04,,,,
2016-09-05,,,,
2016-09-06,11.5,,,
2016-09-07,16,,,
2016-09-08,16,,,
2016-09-09,25,,,
2016-09-10,30,,,
2016-09-11,,,,
2016-09-12,,,,
2016-09-13,13.5,,,
2016-09-14,13.5,,,
2016-09-15,18,,,
2016-09-16,26,,,
2016-09-17,35,,,
2016-09-18,,,,
2016-09-19,,,,
2016-09-20,13,,,
2016-09-21,16,,,
2016-09-22,17,,,
2016-09-23,19,,,
2016-09-24,31,,,
2016-09-25,,,,
2016-09-26,,,,
2016-09-27,13.5,,,
2016-09-28,14.5,,,
2016-09-29,16,,,
2016-09-30,24.5,,,
2016-10-01,33,,,
2016-10-02,,,,
2016-10-03,,,,
2016-10-04,14,,,
2016-10-05,15,,,
2016-10-06,17,,,
2016-10-07,22,,,
2016-10-08,28,,,
2016-10-09,,,,
2016-10-10,,,,
2016-10-11,15.5,,,
2016-10-12,14,,,
2016-10-13,15,,,
2016-10-14,24,,,
2016-10-15,33,,,
2016-10-16,,,,
2016-10-17,,,,
2016-10-18,18,,,
2016-10-19,19,,,
2016-10-20,16.5,,,
2016-10-21,26.5,,,
2016-10-22,36.5,,,
2016-10-23,,,,
2016-10-24,,,,
2016-10-25,15.25,,,
2016-10-26,16,,,
2016-10-27,12.5,,,
2016-10-28,22.5,,,
2016-10-29,30.5,,,
2016-10-30,,,,
2016-10-31,,,,
2016-11-01,15,,,
2016-11-02,14.5,,,
2016-11-03,18,,,
2016-11-04,26,,,
2016-11-05,29.5,,,
2016-11-06,,,,
2016-11-07,,,,
2016-11-08,29.5,,,
2016-11-09,17,,,
2016-11-10,14.5,,,
2016-11-11,23.5,,,
2016-11-12,37,,,
2016-11-13,,,,
2016-11-14,,,,
2016-11-15,15,,,
2016-11-16,15.5,,,
2016-11-17,16,,,
2016-11-18,21,,,
2016-11-19,32,,,
2016-11-20,,,,
2016-11-21,,,,
2016-11-22,25.5,,,
2016-11-23,93,,,
2016-11-24,,,,
2016-11-25,,,,
2016-11-26,,,,
2016-11-27,,,,
2016-11-28,,,,
2016-11-29,14,,,
2016-11-30,16,,,
2016-12-01,17,,,
2016-12-02,22.5,,,
2016-12-03,30.5,,,
2016-12-04,,,,
2016-12-05,,,,
2016-12-06,17,,,
2016-12-07,16,,,
2016-12-08,15.5,,,
2016-12-09,21.5,,,
2016-12-10,30.5,,,
2016-12-11,,,,
2016-12-12,,,,
