ds,y,,,
2018-03-15,16,,,
2018-03-16,25.5,,,
2018-03-17,34,,,
2018-03-18,,,,
2018-03-19,,,,
2018-03-20,12.5,,,
2018-03-21,14.5,,,
2018-03-22,15,,,
2018-03-23,26.5,,,
2018-03-24,32,,,
2018-03-25,,,,
2018-03-26,,,,
2018-03-27,16,,,
2018-03-28,15,,,
2018-03-29,18,,,
2018-03-30,28,,,
2018-03-31,35.5,,,
2018-04-01,,,,
2018-04-02,,,,
2018-04-03,16,,,
2018-04-04,18.5,,,
2018-04-05,18,,,
2018-04-06,18.5,,,
2018-04-07,31,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,15.5,,,
2018-04-11,14,,,
2018-04-12,21,,,
2018-04-13,28.5,,,
2018-04-14,33,,,
2018-04-15,,,,
2018-04-16,,,,
2018-04-17,15.5,,,
2018-04-18,17,,,
2018-04-19,16.5,,,
2018-04-20,26,,,
2018-04-21,34.25,,,
2018-04-22,,,,
2018-04-23,,,,
2018-04-24,16.5,,,
2018-04-25,17.5,,,
2018-04-26,17,,,
2018-04-27,25,,,
2018-04-28,33,,,
2018-04-29,,,,
2018-04-30,,,,
2018-05-01,,,,
2018-05-02,19,,,
2018-05-03,16,,,
2018-05-04,22.5,,,
2018-05-05,45,,,
2018-05-06,,,,
2018-05-07,,,,
2018-05-08,16.5,,,
2018-05-09,18.5,,,
2018-05-10,17,,,
2018-05-11,30.5,,,
2018-05-12,40.5,,,
2018-05-13,,,,
2018-05-14,,,,
2018-05-15,18.5,,,
2018-05-16,19,,,
2018-05-17,22,,,
2018-05-18,26,,,
2018-05-19,27.5,,,
2018-05-20,,,,
2018-05-21,,,,
2018-05-22,20,,,
2018-05-23,16,,,
2018-05-24,19.5,,,
2018-05-25,25,,,
2018-05-26,34.5,,,
2018-05-27,,,,
2018-05-28,,,,
2018-05-29,15.5,,,
2018-05-30,15.5,,,
2018-05-31,20,,,
2018-06-01,24.5,,,
2018-06-02,35,,,
2018-06-03,,,,
2018-06-04,,,,
2018-06-05,17,,,
2018-06-06,19,,,
2018-06-07,17,,,
2018-06-08,29.5,,,
2018-06-09,34,,,
2018-06-10,,,,
2018-06-11,,,,
2018-06-12,14,,,
2018-06-13,15.5,,,
2018-06-14,22.5,,,
2018-06-15,25.5,,,
2018-06-16,30,,,
2018-06-17,,,,
2018-06-18,,,,
2018-06-19,20,,,
2018-06-20,19,,,
2018-06-21,18,,,
2018-06-22,27.5,,,
2018-06-23,28.5,,,
2018-06-24,,,,
2018-06-25,,,,
2018-06-26,17,,,
2018-06-27,16.5,,,
2018-06-28,21,,,
2018-06-29,22,,,
2018-06-30,32.5,,,
2018-07-01,,,,
2018-07-02,,,,
2018-07-03,20,,,
2018-07-04,,,,
2018-07-05,22,,,
2018-07-06,23,,,
2018-07-07,27,,,
2018-07-08,,,,
2018-07-09,,,,
2018-07-10,16,,,
2018-07-11,16,,,
2018-07-12,16,,,
2018-07-13,32,,,
2018-07-14,29.5,,,
2018-07-15,,,,
2018-07-16,,,,
2018-07-17,17,,,
2018-07-18,15.5,,,
2018-07-19,21,,,
2018-07-20,27,,,
2018-07-21,34,,,
2018-07-22,,,,
2018-07-23,,,,
2018-07-24,17.5,,,
2018-07-25,19,,,
2018-07-26,17.5,,,
2018-07-27,26,,,
2018-07-28,34,,,
2018-07-29,,,,
2018-07-30,,,,
2018-07-31,17.5,,,
2018-08-01,18.5,,,
2018-08-02,23,,,
2018-08-03,27,,,
2018-08-04,41,,,
2018-08-05,,,,
2018-08-06,,,,
2018-08-07,,,,
2018-08-08,,,,
2018-08-09,,,,
2018-08-10,,,,
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,20.5,,,
2018-08-15,22.5,,,
2018-08-16,17,,,
2018-08-17,31,,,
2018-08-18,38,,,
2018-08-19,,,,
2018-08-20,,,,
2018-08-21,23,,,
2018-08-22,16,,,
2018-08-23,15,,,
2018-08-24,25,,,
2018-08-25,38,,,
2018-08-26,,,,
2018-08-27,,,,
2018-08-28,14.5,,,
2018-08-29,18.5,,,
2018-08-30,14.5,,,
2018-08-31,24.5,,,
2018-09-01,36,,,
2018-09-02,,,,
2018-09-03,,,,
2018-09-04,14.5,,,
2018-09-05,14.5,,,
2018-09-06,17.5,,,
2018-09-07,26,,,
2018-09-08,31.5,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,15,,,
2018-09-12,15.5,,,
2018-09-13,17.5,,,
2018-09-14,30,,,
2018-09-15,36,,,
2018-09-16,,,,
2018-09-17,,,,
2018-09-18,16,,,
2018-09-19,17,,,
2018-09-20,13,,,
2018-09-21,25.5,,,
2018-09-22,35,,,
2018-09-23,,,,
2018-09-24,,,,
2018-09-25,15.5,,,
2018-09-26,15.5,,,
2018-09-27,15,,,
2018-09-28,25.5,,,
2018-09-29,31,,,
2018-09-30,,,,
2018-10-01,,,,
2018-10-02,17,,,
2018-10-03,15.5,,,
2018-10-04,12,,,
2018-10-05,23,,,
2018-10-06,21,,,
2018-10-07,,,,
2018-10-08,,,,
2018-10-09,14,,,
2018-10-10,17,,,
2018-10-11,18,,,
2018-10-12,25.5,,,
2018-10-13,32,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,14.5,,,
2018-10-17,16,,,
2018-10-18,17.5,,,
2018-10-19,29,,,
2018-10-20,32,,,
2018-10-21,,,,
2018-10-22,,,,
2018-10-23,15,,,
2018-10-24,13.5,,,
2018-10-25,17,,,
2018-10-26,28,,,
2018-10-27,39,,,
2018-10-28,,,,
2018-10-29,,,,
2018-10-30,16,,,
2018-10-31,27.75,,,
2018-11-01,17.5,,,
2018-11-02,26.5,,,
2018-11-03,30,,,
2018-11-04,,,,
2018-11-05,,,,
2018-11-06,19,,,
2018-11-07,16.5,,,
2018-11-08,17,,,
2018-11-09,23,,,
2018-11-10,29.5,,,
2018-11-11,,,,
2018-11-12,,,,
2018-11-13,16.5,,,
2018-11-14,13.5,,,
2018-11-15,19,,,
2018-11-16,22.75,,,
2018-11-17,38,,,
2018-11-18,,,,
2018-11-19,,,,
2018-11-20,20.5,,,
2018-11-21,103,,,
2018-11-22,,,,
2018-11-23,,,,
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,,,
2018-11-27,16.5,,,
2018-11-28,15.5,,,
2018-11-29,14.5,,,
2018-11-30,21.5,,,
2018-12-01,31,,,
2018-12-02,,,,
2018-12-03,,,,
2018-12-04,14,,,
2018-12-05,16,,,
2018-12-06,16,,,
2018-12-07,21.5,,,
2018-12-08,34.5,,,
2018-12-09,,,,
2018-12-10,,,,
2018-12-11,16.5,,,
2018-12-12,20,,,
2018-12-13,17,,,
2018-12-14,27,,,
2018-12-15,37.5,,,
2018-12-16,,,,
2018-12-17,,,,
2018-12-18,17.5,,,
2018-12-19,18,,,
2018-12-20,24.5,,,
2018-12-21,27.5,,,
2018-12-22,41,,,
2018-12-23,,,,
2018-12-24,,,,
2018-12-25,,,,
2018-12-26,,,,
2018-12-27,25,,,
2018-12-28,35.5,,,
2018-12-29,38.5,,,
2018-12-30,,,,
2018-12-31,35,,,
